track_position,track_name,artist_name,stream_count,track_url,region_name,date
1,Ne reviens pas,Gradur,3948207,https://open.spotify.com/track/4TnFANpjVwVKWzkxNzIyFH,france,2020-01-02
2,Moulaga,Heuss L'enfoiré,3035799,https://open.spotify.com/track/5BfCoUcWNXcpyJfjXRIeyC,france,2020-01-02
3,Dance Monkey,Tones And I,2282643,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku,france,2020-01-02
4,Blinding Lights,The Weeknd,1772905,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD,france,2020-01-02
5,POPOPOP,Gambi,1659801,https://open.spotify.com/track/18HNGxDOcshRU2Hdu8tMOM,france,2020-01-02
6,Distant,Maes,1579698,https://open.spotify.com/track/2iuNKcIOuHb9VIplN7NDoa,france,2020-01-02
7,40%,Aya Nakamura,1430890,https://open.spotify.com/track/47LFcy7prvEY5D08d26zOo,france,2020-01-02
8,Oui ou non,Angèle,1321130,https://open.spotify.com/track/7rBP4bLjMLNkix1nGHjheP,france,2020-01-02
9,MD,Niska,1296802,https://open.spotify.com/track/0fjeOEBCmt1nAdoux2TDKF,france,2020-01-02
10,Loin de moi,Naza,1260959,https://open.spotify.com/track/30kxl4FnaEFS2qZkec3Zak,france,2020-01-02
11,Woin Woin,Larry,1244632,https://open.spotify.com/track/5Oh8sPyFYM4gAR3KmmDH7I,france,2020-01-02
12,God Bless (feat. Damso),Hamza,1191563,https://open.spotify.com/track/2oT2g4vkjRaFOcUtdOf9eg,france,2020-01-02
13,ROXANNE,Arizona Zervas,1156536,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK,france,2020-01-02
14,RITMO (Bad Boys For Life),Black Eyed Peas,1145186,https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf,france,2020-01-02
15,Côte Ouest,47ter,1118975,https://open.spotify.com/track/4ZuuPLV4qYiznagLAFPHcW,france,2020-01-02
16,Que Calor (with J Balvin & El Alfa),Major Lazer,1103044,https://open.spotify.com/track/1G2CAJeP7rCwOZjlSJ0Zw3,france,2020-01-02
17,HÉ OH,Gambi,1101327,https://open.spotify.com/track/1bWafkUCOp6luXRs1cm3w9,france,2020-01-02
18,Jamais,Mister V,1050511,https://open.spotify.com/track/2MCAs3ttHSuDm1RHL0rqTF,france,2020-01-02
19,Memories,Maroon 5,973420,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM,france,2020-01-02
20,Ride It,Regard,963407,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ,france,2020-01-02
21,93% [Tijuana],GLK,961079,https://open.spotify.com/track/45mzuuUWaRRLwIDifDferf,france,2020-01-02
22,Bâtiment,Niska,913428,https://open.spotify.com/track/7FF6HRsQlc0CtfAbLmrEGX,france,2020-01-02
23,La vie qu'on mène,Ninho,904350,https://open.spotify.com/track/0Jh6iWjna1wk5le0Ahn7No,france,2020-01-02
24,Mayday (feat. Ninho),SCH,890905,https://open.spotify.com/track/1SVuEeerYIwjCRsF5MGzX3,france,2020-01-02
25,Baianá,Bakermat,885817,https://open.spotify.com/track/430efk5Jc5wGay4EWP4snS,france,2020-01-02
26,Street,Maes,878202,https://open.spotify.com/track/0MtMUDO6tzHq1ux9rwSJhl,france,2020-01-02
27,Ma vie,Dadju,877955,https://open.spotify.com/track/2WFa5RbfyeoBDGNkg3OD7M,france,2020-01-02
28,Dans l'univers,Nekfeu,868436,https://open.spotify.com/track/2PYXOG6GdxF9sUIH2NfOAD,france,2020-01-02
29,Avant toi,Vitaa,861978,https://open.spotify.com/track/4iNPp0BZ4lBu7bipdWLcWk,france,2020-01-02
30,Reste,GIMS,821635,https://open.spotify.com/track/3ebaeB2BdCEgZmwKv7p2r5,france,2020-01-02
31,Señorita,Shawn Mendes,815414,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2,france,2020-01-02
32,Trampoline,SHAED,807156,https://open.spotify.com/track/4HBvwhhYo7YiYXkUDrOHzS,france,2020-01-02
33,Aristocrate,Heuss L'enfoiré,786139,https://open.spotify.com/track/7gNlaZaMIjRUfnAYd9Dvmt,france,2020-01-02
34,Elle est bonne sa mère,Vegedream,784614,https://open.spotify.com/track/7j56bK7gq6iV7zsD6lbP4J,france,2020-01-02
35,Don't Start Now,Dua Lipa,775167,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg,france,2020-01-02
36,Un peu de haine,PLK,758606,https://open.spotify.com/track/5yYfCoMrhcuxMP9CAmA2rU,france,2020-01-02
37,Maman ne le sait pas (feat. Niska),Ninho,739335,https://open.spotify.com/track/5c2HadbVTsMKjja4gohEFI,france,2020-01-02
38,Méchant,Niska,692392,https://open.spotify.com/track/75bVc27bDSOAhMAL38cXpV,france,2020-01-02
39,Ma belle,Moha La Squale,681832,https://open.spotify.com/track/3Aq1SJ1hWlfazx8IIC6u1D,france,2020-01-02
40,Falling,Trevor Daniel,675005,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa,france,2020-01-02
41,Compliqué,Dadju,674954,https://open.spotify.com/track/7MmocSyYpeLvpgO4eRW3zl,france,2020-01-02
42,Mortel,Koba LaD,673229,https://open.spotify.com/track/1R08aR16OkyUIEISNPj8vA,france,2020-01-02
43,JCVD,Jul,671255,https://open.spotify.com/track/10iesoGb4mCYTcur1QfdO9,france,2020-01-02
44,everything i wanted,Billie Eilish,652135,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ,france,2020-01-02
45,Circles,Post Malone,647703,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb,france,2020-01-02
46,Problèmes,PLK,643566,https://open.spotify.com/track/6lZbLMHu98qpkOY0t3efUK,france,2020-01-02
47,Roses - Imanbek Remix,SAINt JHN,640551,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI,france,2020-01-02
48,Goutte d'eau,Ninho,639062,https://open.spotify.com/track/0rQbvQpjQ6QeeCAnVRzokf,france,2020-01-02
49,Block,Larry,636701,https://open.spotify.com/track/0yVPwf4vpeGum3gF1XMCWQ,france,2020-01-02
50,Marie,Koba LaD,636431,https://open.spotify.com/track/4NcZKLjdfTJLpaCOspAjQn,france,2020-01-02
51,Un million par mois,Djadja & Dinaz,631598,https://open.spotify.com/track/5JVf4pCn50ePuE6ZoF5oEg,france,2020-01-02
52,Tes parents (feat. Ninho),Leto,625550,https://open.spotify.com/track/0G0ZyEQyc3IBcRnYCvtTwb,france,2020-01-02
53,Au DD,PNL,617831,https://open.spotify.com/track/5lCxlSBFyP5g4EhVypAoOu,france,2020-01-02
54,Good as Hell (feat. Ariana Grande) - Remix,Lizzo,613833,https://open.spotify.com/track/07Oz5StQ7GRoygNLaXs2pd,france,2020-01-02
55,Tombé,M. Pokora,610703,https://open.spotify.com/track/399mh97iAmjU34de5MebHp,france,2020-01-02
56,Gasolina (feat. Gambi),Hamza,605742,https://open.spotify.com/track/1Wfe6IKCZDWqKSXNmn2tvt,france,2020-01-02
57,Be Honest,Jorja Smith,594889,https://open.spotify.com/track/3IWs9dAwTqN0EFhOIcBDfs,france,2020-01-02
58,Pookie,Aya Nakamura,587385,https://open.spotify.com/track/2QpUWi6VSNOt2WyH5FIeLD,france,2020-01-02
59,Médicament,Niska,586011,https://open.spotify.com/track/0udmmo0fTwWbm6VqEHAvYF,france,2020-01-02
60,Rari,Gradur,582797,https://open.spotify.com/track/24UpsIBzHloZfiimVLUUFx,france,2020-01-02
61,Balance ton quoi,Angèle,578075,https://open.spotify.com/track/2jX5c5RFp0A9E1GDsvGxIa,france,2020-01-02
62,Putana,Ninho,573305,https://open.spotify.com/track/5oePa8PlOTPAlRaGs2OZ3A,france,2020-01-02
63,San Pellegrino,Chily,564098,https://open.spotify.com/track/30Mqfip5b5lCDpCLRvsrTq,france,2020-01-02
64,Ça va ça vient,Vitaa,563900,https://open.spotify.com/track/3xbws1uOAaxeTPEviKWONY,france,2020-01-02
65,Khapta,Heuss L'enfoiré,559926,https://open.spotify.com/track/6stxV2bl7xSiPUornxwyNR,france,2020-01-02
66,RR 9.1,Koba LaD,552345,https://open.spotify.com/track/28fP6qcMGPfYOjrx8AOWFn,france,2020-01-02
67,R.A.C.,SCH,543274,https://open.spotify.com/track/0GN6DWiR9Pf2su3vJF5c0x,france,2020-01-02
68,Bitch (feat. Vald),Lefa,539999,https://open.spotify.com/track/4Bg5ufw4skMPjZl95Y7axO,france,2020-01-02
69,Some Say,Nea,537444,https://open.spotify.com/track/4poybupy26pTWPr9zY1i7h,france,2020-01-02
70,Old Town Road - Remix,Lil Nas X,533703,https://open.spotify.com/track/2YpeDb67231RjR0MgVLzsG,france,2020-01-02
71,bad guy,Billie Eilish,520064,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m,france,2020-01-02
72,Birds,Imagine Dragons,517715,https://open.spotify.com/track/6Tvzf3VEi16JMhAgOwdt2y,france,2020-01-02
73,Turbo,Rim'K,508763,https://open.spotify.com/track/5cKIAHPEHZ5aGXqvksSrS6,france,2020-01-02
74,Lose Control,MEDUZA,505095,https://open.spotify.com/track/7CHi4DtfK4heMlQaudCuHK,france,2020-01-02
75,Unstoppable,Sia,504561,https://open.spotify.com/track/2J2Z1SkXYghSajLibnQHOa,france,2020-01-02
76,Liquide rouge,Maes,494879,https://open.spotify.com/track/55zn5ujMpCkJWd2exRvs5r,france,2020-01-02
77,À nos héros du quotidien,Soprano,493485,https://open.spotify.com/track/4zKqWCgGqwWlfJTNaj2R19,france,2020-01-02
78,Tricheur,Nekfeu,493053,https://open.spotify.com/track/7C7GtWZmyicqjBDbAWPsCp,france,2020-01-02
79,Never Seen the Rain,Tones And I,489326,https://open.spotify.com/track/2grAr8pWMuLWn8ZYEE9wDV,france,2020-01-02
80,Dans la ville,DTF,488029,https://open.spotify.com/track/6OsqTyesS9pc7pYPCFhlmv,france,2020-01-02
81,Turn Me On (feat. Vula),Riton,476005,https://open.spotify.com/track/0qaWEvPkts34WF68r8Dzx9,france,2020-01-02
82,South of the Border (feat. Camila Cabello & Cardi B),Ed Sheeran,468828,https://open.spotify.com/track/4vUmTMuQqjdnvlZmAH61Qk,france,2020-01-02
83,Trop beau,Lomepal,467382,https://open.spotify.com/track/4WB9OeauHXnGOMUK4s80gM,france,2020-01-02
84,Les méchants,Heuss L'enfoiré,464725,https://open.spotify.com/track/0r64LBR8RlnXcdd5HTFubd,france,2020-01-02
85,Djadja,Aya Nakamura,463419,https://open.spotify.com/track/7sKDftgGirHWTVFMtJoDoh,france,2020-01-02
86,HIGHEST IN THE ROOM (feat. ROSALÍA & Lil Baby) - REMIX,Travis Scott,463249,https://open.spotify.com/track/7h0d2h0fUmzbs7zeFigJPn,france,2020-01-02
87,Beautiful People (feat. Khalid),Ed Sheeran,461047,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv,france,2020-01-02
88,Adore You,Harry Styles,458864,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7,france,2020-01-02
89,Lalala,Y2K,458759,https://open.spotify.com/track/51Fjme0JiitpyXKuyQiCDo,france,2020-01-02
90,Loco Contigo (feat. J. Balvin & Tyga),DJ Snake,458733,https://open.spotify.com/track/6osaMSJh9NguagEDQcZaKx,france,2020-01-02
91,Double Bang 8,Leto,457314,https://open.spotify.com/track/70YKX2Nwd1egULEIT9wwQ7,france,2020-01-02
92,GANG GANG,JACKBOYS,451554,https://open.spotify.com/track/6uJONCdr2rC65BNmCnTBWK,france,2020-01-02
93,Sad (feat. Afrojack),Chico Rose,447703,https://open.spotify.com/track/4ESPuOrSsRcBISzcMlzmY5,france,2020-01-02
94,Someone You Loved,Lewis Capaldi,440811,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf,france,2020-01-02
