track_position,track_name,artist_name,track_url,region_name,date
1,Pura Pura Lupa,Mahen,https://open.spotify.com/track/6Aw5k0jkFceYayaJoRupLT,global,2020-01-02
2,GOODMORNINGTOKYO!,TOKYO’S REVENGE,https://open.spotify.com/track/0Q2n5yzl2XRqYbV77tZNYp,global,2020-01-02
3,Blueberry faygo,Yung Anime,https://open.spotify.com/track/4ADzhwPWMQaTXNnEP8gXnQ,global,2020-01-02
4,Catriona,Matthaios,https://open.spotify.com/track/4YMfE4r1JWADFw2Fn74XW2,global,2020-01-02
5,"All I Want - From ""High School Musical: The Musical: The Series""",Olivia Rodrigo,https://open.spotify.com/track/4Yxc55NX3tAXC2mHRAhtcW,global,2020-01-02
6,Falling,Trevor Daniel,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa,global,2020-01-02
7,No Idea,Don Toliver,https://open.spotify.com/track/3VyjsVV24RmBIbWJAeUJNu,global,2020-01-02
8,The Box,Roddy Ricch,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I,global,2020-01-02
9,Bütün Istanbul Biliyo,İkiye On Kala,https://open.spotify.com/track/0V0bWil6rS8w4Xbn6eGwCQ,global,2020-01-02
10,BOYFREN,LoveLeo,https://open.spotify.com/track/2YJ7tTicU1vUmUjYNJROrv,global,2020-01-02
11,Lebih Dari Egoku,Mawar De Jongh,https://open.spotify.com/track/4vh193RZbEEBanSG0719Wh,global,2020-01-02
12,Tusa,KAROL G,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY,global,2020-01-02
13,THOT!,TOKYO’S REVENGE,https://open.spotify.com/track/2St8HeG23Nzp4NYaWTNtuM,global,2020-01-02
14,"Pelukku Untuk Pelikmu - OST Imperfect: Karier, Cinta, & Timbangan",Fiersa Besari,https://open.spotify.com/track/5sgRYOTpFZRROlndD460KI,global,2020-01-02
15,Blinding Lights,The Weeknd,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD,global,2020-01-02
16,ROXANNE,Arizona Zervas,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK,global,2020-01-02
17,Liberdade Provisória,Henrique & Juliano,https://open.spotify.com/track/1vG3YuKRYqPwTmNmYgqkpg,global,2020-01-02
18,Roses - Imanbek Remix,SAINt JHN,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI,global,2020-01-02
19,Vem Me Satisfazer,MC Ingryd,https://open.spotify.com/track/63SHcJzckFykS8faA5zojY,global,2020-01-02
20,Adore You,Harry Styles,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7,global,2020-01-02
21,Dance Monkey,Tones And I,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku,global,2020-01-02
22,SENTADÃO,PEDRO SAMPAIO,https://open.spotify.com/track/4lKuzrdZrJuCAedbIslF3A,global,2020-01-02
23,Solteroski,Los Solteroski,https://open.spotify.com/track/6JqfAWXo2rPNSWy9SDm9i3,global,2020-01-02
24,Say So,Doja Cat,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ,global,2020-01-02
25,Ne reviens pas,Gradur,https://open.spotify.com/track/4TnFANpjVwVKWzkxNzIyFH,global,2020-01-02
26,Suicidal,YNW Melly,https://open.spotify.com/track/1iSqfoUFnQwV0QW1EfUit8,global,2020-01-02
27,My Oh My (feat. DaBaby),Camila Cabello,https://open.spotify.com/track/3yOlyBJuViE2YSGn3nVE1K,global,2020-01-02
28,Texas Sun,Khruangbin,https://open.spotify.com/track/3k5oLgungD1dSOGLqQdIQw,global,2020-01-02
29,Secukupnya,Hindia,https://open.spotify.com/track/5drW6PGRxkE6MxttzVLNk5,global,2020-01-02
30,Ayy Macarena,Tyga,https://open.spotify.com/track/6LcauUZjF1eXQrgqMUecHX,global,2020-01-02
31,If the World Was Ending - feat. Julia Michaels,JP Saxe,https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ,global,2020-01-02
32,To Voando Alto,Mc Poze do Rodo,https://open.spotify.com/track/7HLU2aJTAQfSIgJ2dMASsP,global,2020-01-02
33,Maniac,Conan Gray,https://open.spotify.com/track/7hpJ9tATWb2vztlq99hERP,global,2020-01-02
34,Tudo Ok,Thiaguinho MT,https://open.spotify.com/track/4HUZBG98TYbxSR9V1V2DWS,global,2020-01-02
35,Imahe,Magnus Haven,https://open.spotify.com/track/65sEZZaxTjLMD8vNgPoMz5,global,2020-01-02
36,Don't Start Now,Dua Lipa,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg,global,2020-01-02
37,I Want You Back,Matthaios,https://open.spotify.com/track/5jLUKFlEJzOf6b6PCaohFI,global,2020-01-02
38,RITMO (Bad Boys For Life),Black Eyed Peas,https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf,global,2020-01-02
39,Hola - Remix,Dalex,https://open.spotify.com/track/5stPVcRqb4qixbafP9e8lt,global,2020-01-02
40,Kenangan Manis,Pamungkas,https://open.spotify.com/track/1tS1dRfxIV9FzqdYTbJgMn,global,2020-01-02
41,Vete,Bad Bunny,https://open.spotify.com/track/5DxXgozhkPLgrbKFY91w0c,global,2020-01-02
42,Sou Vitorioso,Mc Lele JP,https://open.spotify.com/track/37hCsK2djczyRGWMjqzbxD,global,2020-01-02
43,Watermelon Sugar,Harry Styles,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY,global,2020-01-02
44,Pilu Membiru,Kunto Aji,https://open.spotify.com/track/48FTlRoE6Dft6EXIpQgPZb,global,2020-01-02
45,In The Party,Flo Milli,https://open.spotify.com/track/2JF8KwK1hH7MWxKcFdTlcg,global,2020-01-02
46,Memories,Maroon 5,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM,global,2020-01-02
47,Benjamins 3,Rozz Kalliope,https://open.spotify.com/track/3F1vlhA0ISnqXJMOXUZP7V,global,2020-01-02
48,everything i wanted,Billie Eilish,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ,global,2020-01-02
49,Yellow Hearts,Ant Saunders,https://open.spotify.com/track/2W4yABdLc4Jnds67Poi5Nl,global,2020-01-02
50,Com ou Sem Mim - Ao Vivo,Gustavo Mioto,https://open.spotify.com/track/2BU6XXSG8SqiptRuj6EiLA,global,2020-01-02
